主要時系列統計データ表
2019/05/16 15:00
"","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）","マネタリーベース平均残高（月次）"
"系列名称","マネタリーベース平均残高（前年比）","マネタリーベース平均残高／うち 日本銀行券発行高（前年比）","マネタリーベース平均残高／うち 貨幣流通高(前年比）","マネタリーベース平均残高／うち 日銀当座預金（前年比）","マネタリーベース平均残高","マネタリーベース平均残高／うち 日本銀行券発行高","マネタリーベース平均残高／うち 貨幣流通高","マネタリーベース平均残高／うち 日銀当座預金"
"データコード",MD01'MABS1AN11@,MD01'MABS2AN116@,MD01'MABS2AN117@,MD01'MABS1AN113@,MD01'MABS1AN11,MD01'MABS2AN116,MD01'MABS2AN117,MD01'MABS1AN113
"単位",％,％,％,％,億円,億円,億円,億円
"収録開始期","1971/01","1971/01","1971/01","1982/04","1970/01","1970/01","1970/01","1981/04"
"収録終了期","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04","2019/04"
"最終更新日","2019/05/08","2019/05/08","2019/05/08","2019/05/08","2019/05/08","2019/05/08","2019/05/08","2019/05/08"
1980/01,6.5,9.3,7.6,,187775,157150,9296,
1980/02,7.9,9.7,7.6,,175206,145454,9156,
1980/03,11.5,10.4,7.3,,183050,152116,9086,
1980/04,14.8,10,6.8,,190870,152833,9104,
1980/05,14.4,8.1,6.3,,188262,148682,9176,
1980/06,14.6,8.3,6,,191181,151108,9174,
1980/07,13.1,6.7,5.7,,194043,154078,9209,
1980/08,11.2,5.7,5.5,,192154,152784,9300,
1980/09,11.5,4.4,9,,185748,145469,9331,
1980/10,9.8,4.6,5.3,,184109,145225,9334,
1980/11,11.5,5,5.3,,187772,147414,9382,
1980/12,6.9,3.3,4.9,,213292,177458,9624,
1981/01,5.7,3.2,5.1,,198514,162167,9768,
1981/02,5.8,2.6,5.1,,185391,149177,9619,
1981/03,4.1,2,4.8,,190574,155219,9525,
1981/04,-1.9,0.7,4.5,,187251,153879,9516,23856
1981/05,-2.5,2.8,4.3,,183477,152870,9571,21036
1981/06,-2.7,2.9,3.9,,186085,155557,9536,20992
1981/07,-1.3,4.3,3.9,,191493,160660,9568,21265
1981/08,-0.3,5,4.2,,191526,160449,9688,21389
1981/09,-0.6,5.4,4,,184597,153301,9705,21591
1981/10,0.6,5.8,3.9,,185303,153628,9701,21974
1981/11,-0.6,5.7,3.9,,186660,155816,9746,21098
1981/12,3.7,6.8,4.1,,221220,189522,10016,21682
1982/01,2.3,4.9,3.9,,203012,170058,10148,22806
1982/02,3,6.3,3.8,,190976,158631,9980,22365
1982/03,3,6.4,4,,196212,165114,9906,21192
1982/04,7,7.6,8.8,2,200308,165628,10355,24325
1982/05,7.7,7.6,9.1,8.1,197649,164473,10444,22732
1982/06,7.2,6.7,9.8,10.4,199542,165907,10468,23167
1982/07,7.5,6.9,10.4,10.9,205925,171772,10561,23592
1982/08,8,7,10.7,14.3,206837,171675,10724,24438
1982/09,7.7,7.5,11.4,7.5,198824,164803,10814,23207
1982/10,8.3,8,12,8.8,200746,165972,10869,23905
1982/11,8.4,7.4,12.6,13.8,202262,167272,10970,24020
1982/12,7,6.2,13,11.9,236757,201178,11318,24261
1983/01,7.1,7,13.3,5.6,217482,181899,11499,24084
1983/02,8.3,7.7,13.9,10,206790,170822,11364,24604
1983/03,8.7,7.3,14.5,17,213271,177135,11341,24795
1983/04,5.8,6.5,10.5,-1.1,211911,176417,11444,24050
1983/05,6.1,5.2,11.2,10.1,209675,173034,11616,25025
1983/06,5.7,5.1,11.5,7,210848,174383,11677,24788
1983/07,5.1,5,11.7,2.3,216326,180388,11796,24142
1983/08,5.1,4.8,12.1,4.3,217429,179920,12022,25487
1983/09,4.9,4.9,12.4,1.2,208515,172869,12154,23492
